product_id,Brand_name,category,initial_price,final_price,discount,sizes,best_offer,rating,rating_count
8376765,Lino Perros,backpacks,3995,3995.0,58.0,Onesize,No best offer available,3.8,15
9136281,Tommy Hilfiger,backpacks,2899,2899.0,35.0,Onesize,No best offer available,4.5,67
17633752,Lavie,backpacks,2999,2999.0,65.0,S,No best offer available,4.4,226
1376949,F Gear,backpacks,1675,1675.0,52.0,Onesize,No best offer available,4.4,1052
13939916,MYTRIDENT,bath-robe,2899,2899.0,17.0,M,No best offer available,4.7,12
17198778,H&M,bathroom-accessories,1399,1399.0,56.0,Onesize,"Orders above Rs. 1499 (only on first purchase), 1026, MYNTRA400, Rs. 373.0 off (check cart for final savings)",4.5,42
19851824,AVI Living,bath-towels,1399,1399.0,65.0,Onesize,No best offer available,4.0,5
18602872,My Room,bedsheets,2999,2999.0,54.0,"Single, Double Queen, Super King",No best offer available,4.7,10
18602850,My Room,bedsheets,2999,2999.0,54.0,Super King,No best offer available,4.5,22
8961147,Story@home,bedsheets,2199,2199.0,53.0,Double King,No best offer available,3.7,7
8430275,MYTRIDENT,bedsheets,2199,2199.0,46.0,Double Queen,No best offer available,4.4,26
18346118,Arrabi,bedsheets,3329,865.0,74.0,Super King,"Orders above Rs. 999 (only on first purchase), 605, MYNTRA300, Rs. 260.0 off (check cart for final savings)",0.0,0
18327434,BELLA CASA,bedsheets,1499,404.0,73.0,Single,"Orders above Rs. 649 (only on first purchase), 280, MYNTRA200, Rs. 124.0 off (check cart for final savings)",0.0,0
18492504,ROMEE,bedsheets,3499,3499.0,65.0,Double King,No best offer available,3.9,10
13729978,DDecor,bedsheets,1599,1599.0,20.0,Double King,No best offer available,3.6,15
19788630,Home Ecstasy,bedsheets,1199,1199.0,42.0,"Single, Double Queen",No best offer available,4.5,6
20296382,DREAM WEAVERZ,bedsheets,2599,2599.0,78.0,Double Queen,No best offer available,3.8,18
18346134,Arrabi,bedsheets,6329,6329.0,76.0,Super King,No best offer available,4.3,12
22409156,Kastner,belts,1399,223.0,84.0,"26, 28, 30, 32, 34, 36","Orders above Rs. 649 (only on first purchase), 154, MYNTRA200, Rs. 69.0 off (check cart for final savings)",3.8,9
18985918,Tommy Hilfiger,bodysuit,2999,1799.0,40.0,"XXS, XS, S, M, L, XL","Orders above Rs. 1499 (only on first purchase), 1399, MYNTRA400, Rs. 400.0 off (check cart for final savings)",4.1,11
22120138,Ed-a-Mamma Baby,bodysuit,999,699.0,30.0,"0-3M, 3-6M, 6-9M, 9-12M, 12-18M","Orders above Rs. 999 (only on first purchase), 489, MYNTRA300, Rs. 210.0 off (check cart for final savings)",4.2,5
1728397,Mactree,boots,9060,1087.0,88.0,"6, 7, 8, 9, 10, 12","Orders above Rs. 999 (only on first purchase), 787, MYNTRA300, Rs. 300.0 off (check cart for final savings)",3.9,1727
21427828,London Rag,boots,9599,3839.0,60.0,"3, 4, 5, 6, 7, 8","Orders above Rs. 1499 (only on first purchase), 3439, MYNTRA400, Rs. 400.0 off (check cart for final savings)",5.0,4
17372928,The Souled Store,boxers,799,367.0,54.0,"S, M, L, XL","Orders above Rs. 649 (only on first purchase), 254, MYNTRA200, Rs. 113.0 off (check cart for final savings)",4.5,22
15115018,Jockey,bra,579,579.0,56.0,"S, M, L, XL, 3XL","Orders above Rs. 649 (only on first purchase), 401, MYNTRA200, Rs. 178.0 off (check cart for final savings)",4.4,1582
22063882,GROVERSONS Paris Beauty,bra,399,299.0,25.0,"30B, 30C, 32B, 32C, 34B, 34C, 36B, 36C, 38B, 38C, 40B, 40C","Orders above Rs. 649 (only on first purchase), 207, MYNTRA200, Rs. 92.0 off (check cart for final savings)",4.0,25
19219450,Susie,bra,749,374.0,50.0,"30B, 30C, 30D, 32B, 32C, 32D, 34B, 34C, 34D, 34DD, 36B, 38B, 38C, 38D, 38DD, 40B, 40C, 40D, 40DD, 42B, 42C, 42D, 44B, 44C, 44D","Orders above Rs. 649 (only on first purchase), 259, MYNTRA200, Rs. 115.0 off (check cart for final savings)",4.3,12
22196924,Zivame,bra,999,499.0,50.0,"30A, 30B, 30C, 32A, 32B, 32C, 34A, 34B, 34C, 36A, 36B, 38A, 38B","Orders above Rs. 649 (only on first purchase), 345, MYNTRA200, Rs. 154.0 off (check cart for final savings)",4.3,118
19219468,Susie,bra,699,398.0,43.0,"32B, 32C, 32D, 34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38C, 38D, 38DD, 40B, 40C, 40D, 42B, 42C","Orders above Rs. 649 (only on first purchase), 275, MYNTRA200, Rs. 123.0 off (check cart for final savings)",4.0,6
22278620,Tweens,bra,720,604.0,16.0,"30B, 32B, 34B, 36B, 38B","Orders above Rs. 649 (only on first purchase), 418, MYNTRA200, Rs. 186.0 off (check cart for final savings)",0.0,0
19277544,Marks & Spencer,bra,2999,2249.0,60.0,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D","Purchase of 3 or more items (only on first purchase), 1799, SHOPEXTRA, 20.0%  off upto Rs. 500.0 (check cart for final savings)",4.3,24
18223842,max,bra,449,449.0,20.0,"40B, 40C, 42B, 42C, 42D, 44B, 44C, 44D",No best offer available,4.1,37
18656766,VStar,bra,345,345.0,56.0,"30B, 32B, 34B, 36B, 38B","Orders above Rs. 649 (only on first purchase), 239, MYNTRA200, Rs. 106.0 off (check cart for final savings)",4.6,5
18656764,VStar,bra,345,345.0,56.0,"30B, 32B, 34B, 36B, 38B","Orders above Rs. 649 (only on first purchase), 239, MYNTRA200, Rs. 106.0 off (check cart for final savings)",4.3,6
13523458,shyaway,bra,2547,2547.0,52.0,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",No best offer available,4.3,6
18652628,max,bra,649,649.0,20.0,"30B, 32B, 32C, 34B, 34C, 34D, 36B, 36C, 38B, 38C",No best offer available,4.2,5
17774350,Zivame,bra,995,995.0,50.0,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",No best offer available,4.2,9
16704504,ZINU,bracelet,699,384.0,45.0,Onesize,"Orders above Rs. 649 (only on first purchase), 266, MYNTRA200, Rs. 118.0 off (check cart for final savings)",4.1,7
21873792,KARATCART,bracelet,3397,815.0,76.0,Onesize,"Orders above Rs. 999 (only on first purchase), 570, MYNTRA300, Rs. 245.0 off (check cart for final savings)",4.6,5
21573578,Jewels Galaxy,bracelet,1329,305.0,77.0,Onesize,"Orders above Rs. 649 (only on first purchase), 211, MYNTRA200, Rs. 94.0 off (check cart for final savings)",4.2,24
18100576,MINUTIAE,bracelet,1499,1499.0,70.0,M,No best offer available,3.2,13
18532334,Pepe Jeans,briefs,459,298.0,20.0,"S, M, L, XL","Orders above Rs. 649 (only on first purchase), 206, MYNTRA200, Rs. 92.0 off (check cart for final savings)",0.0,0
16696094,Van Heusen,briefs,649,649.0,56.0,"S, M, L, XL","Orders above Rs. 649 (only on first purchase), 449, MYNTRA200, Rs. 200.0 off (check cart for final savings)",4.6,192
21867416,DressBerry,briefs,299,215.0,28.0,"S, M, L, XL","Orders above Rs. 449 (only on first purchase), 143, TOPBRANDOFFER, Rs. 72.0 off (check cart for final savings)",4.1,14
21850852,Soie,briefs,390,370.0,5.0,"S, M, L, XL, XXL","Orders above Rs. 649 (only on first purchase), 256, MYNTRA200, Rs. 114.0 off (check cart for final savings)",4.9,14
21860658,EROTISSCH,briefs,899,539.0,40.0,"S, M, L, XL","Orders above Rs. 649 (only on first purchase), 373, MYNTRA200, Rs. 166.0 off (check cart for final savings)",0.0,0
21569986,Chromozome,briefs,1199,395.0,40.0,"S, M, L, XL","Orders above Rs. 649 (only on first purchase), 273, MYNTRA200, Rs. 122.0 off (check cart for final savings)",4.2,18
